pag_pk,pag_fecha_planificada,pag_importe_planificado,pag_fecha_real,pag_importe_real,pag_confirmar,mon_pk,mon_nombre
5260,"2017-06-30 00:00:00",2500,"2017-06-30 00:00:00",2500,NULL,1,Pesos
5261,"2017-07-31 00:00:00",2500,"2017-07-31 00:00:00",2500,NULL,1,Pesos
5262,"2017-08-31 00:00:00",2500,"2017-08-31 00:00:00",2500,NULL,1,Pesos
5263,"2017-09-29 00:00:00",2500,"2017-09-29 00:00:00",2500,NULL,1,Pesos
5264,"2017-10-31 00:00:00",2500,"2017-10-31 00:00:00",2500,NULL,1,Pesos
5265,"2017-11-30 00:00:00",2500,"2017-11-30 00:00:00",2500,NULL,1,Pesos
5266,"2017-12-29 00:00:00",2500,"2017-12-29 00:00:00",2500,NULL,1,Pesos
5274,"2017-05-05 00:00:00",80715,"2017-06-08 00:00:00",80715,1,1,Pesos
5275,"2017-12-26 00:00:00",80715,"2017-12-26 00:00:00",80715,NULL,1,Pesos
5276,"2017-07-07 00:00:00",80715,"2017-07-07 00:00:00",65685,1,1,Pesos
5277,"2017-08-11 00:00:00",84807,"2017-08-11 00:00:00",84807,NULL,1,Pesos
5278,"2017-09-08 00:00:00",84807,"2017-09-08 00:00:00",84807,NULL,1,Pesos
5279,"2017-10-13 00:00:00",84807,"2017-10-13 00:00:00",84807,NULL,1,Pesos
5280,"2017-11-10 00:00:00",84807,"2017-11-10 00:00:00",84807,NULL,1,Pesos
5281,"2017-12-08 00:00:00",84807,"2017-12-08 00:00:00",84807,NULL,1,Pesos
5385,"2017-05-12 00:00:00",445001,"2017-06-08 00:00:00",445001,1,1,Pesos
5386,"2017-06-09 00:00:00",445001,"2017-06-09 00:00:00",445001,1,1,Pesos
5387,"2017-07-14 00:00:00",445001,"2017-06-08 00:00:00",249200,1,1,Pesos
5388,"2017-08-11 00:00:00",467563,"2017-08-11 00:00:00",467563,NULL,1,Pesos
